Question ID,Question Text,KC ID,KC Name,KC Description,Distractors,Student Errors (if any),Item Category,Item,Option A,Option B,Option C,Option D,Diagnosis A,Diagnosis B,Diagnosis C,Diagnosis D,Priority
,,KC-03,Case-insensitive matching,Handle both uppercase and lowercase vowels. Either normalize case with .lower() or include both cases in the vowel set,"(a) if ch in ""aeiou"" — misses uppercase
(b) if ch.lower() in ""aeiou"" 
(c) if ch in ""AEIOU"" — misses lowercase
(d) if ch == ch.lower() and ch in ""aeiou"" — overcomplicated, still misses uppercase","Student writes if ch in ""aeiou"" — returns 0 for ""APPLE""
Student writes if ch in ""AEIOU"" — returns 0 for ""apple""
Student uses .upper() on the set and .lower() on the char inconsistently",Fixing bug,"This code returns 0 for input ""APPLE"" (expected: 2). Select the minimal fix.

def countVowels(s):
    count = 0
    for ch in s:
        if ch in ""aeiou"":
            count += 1
    return count","Change ""aeiou"" to ""AEIOU""",Change ch to ch.lower(),Change for ch in s to for ch in s.title(),None of the above,Missing KC-03 — now fails lowercase,Demonstrates KC-03 mastery,Missing KC-03 — incorrect approach,No understanding,KC-03_Debugging the question
,,,,,,,Fill in the blanks,"Complete the code so it counts both uppercase and lowercase vowels.

count = 0
for ch in s:
    if ch.____ in ""aeiou"":
        count += 1",upper(),lower(),strip(),None of the above,Missing KC-03 — now fails lowercase,Demonstrates KC-03 mastery,Missing KC-03 — irrelevant,Missing KC-03 — does not normalize case,
,,,,,,,Reading question,"For input s = ""AeIoU"", what should countVowels(s) return?",0,2,3,5,Missing KC-03 — no case handling,Missing KC-03 — partial handling,Missing KC-03 — partial handling,Demonstrates KC-03 mastery,
,,,,,,,Debugging the question,"For input ""Apple"", this code returns 1 instead of 2. Identify the root cause.

def countVowels(s):
    count = 0
    for ch in s:
        if ch in ""aeiou"":
            count += 1
    return count",Vowel set is wrong,Uppercase A is not matched because only lowercase vowels are in the set,Loop misses the last character,None of the above,Missing KC-03 — misidentifies,Demonstrates KC-03 mastery,Missing KC-03 — wrong diagnosis,Guessing,
,,,,,,,Tweaking the code,"The below code works for lowercase-only input. Modify it (minimal change) to also handle uppercase.

def countVowels(s):
    count = 0
    for ch in s:
        if ch in ""aeiou"":
            count += 1
    return count","Replace ""aeiou"" with ""aeiouAEIOU"" ",Add s = s.strip() before the loop,Wrap in try/except,None of the above,Demonstrates KC-03 mastery,Missing KC-03 — irrelevant,No understanding,No understanding,
,,KC-04,Membership test with in operator,Use the in operator for clean membership testing rather than chaining multiple == comparisons with or,"(a) if ch == 'a' or ch == 'e' or ch == 'i' or ch == 'o' or ch == 'u' — works but verbose
(b) if ch in ""aeiou"" 
(c) if ch == 'aeiou' — string equality, always false
(d) if ch.find(""aeiou"") >= 0 — wrong direction, finds vowel-string in single char","Student chains 10 or conditions for uppercase + lowercase
Student writes if ch == ""aeiou"" expecting it to match any vowel
Student uses ch.find() on the vowel string incorrectly",Fixing bug,"This code always returns 0. Select the minimal fix.

def countVowels(s):
    count = 0
    for ch in s:
        if ch == ""aeiou"":
            count += 1
    return count",Change == to in,"Change ""aeiou"" to ""AEIOU""",Change count += 1 to count = 1,None of the above,Demonstrates KC-04 mastery,Missing KC-04 — still always false,Missing KC-04 — unrelated,No understanding — TypeError,KC-04_Debugging the question
,,,,,,,Fill in the blanks,"Fill in the blank to check if ch is any vowel.

if ch ____ ""aeiou"":
    count += 1","""==""",in,.find(,None of the above,Missing KC-04 — always false,Demonstrates KC-04 mastery,Missing KC-04 — wrong syntax and semantics,Missing KC-04 — identity not membership,
,,,,,,,Reading question,"What does ""a"" in ""aeiou"" evaluate to in Python?",TRUE,FALSE,0,None of the above,Demonstrates KC-04 mastery,No understanding of in,Confuses with find,Doesn't know strings support in,
,,,,,,,Debugging the question,"This code always returns 0 regardless of input. Identify the root cause.

def countVowels(s):
    count = 0
    for ch in s:
        if ch == ""aeiou"":
            count += 1
    return count",The vowel string is wrong,"""== checks equality with the whole string; needs in for membership""",Counter starts at wrong value,None of the above,Missing KC-04 — misidentifies,Demonstrates KC-04 mastery,Guessing,Missing KC-04 — would help but not root cause,
,,,,,,,Tweaking the code,"Rewrite this verbose code to use the in operator for membership testing.

def countVowels(s):
    count = 0
    for ch in s:
        if ch == 'a' or ch == 'e' or ch == 'i' or ch == 'o' or ch == 'u':
            count += 1
    return count",Replace the condition with: if ch in 'aeiou':,Replace the condition with: if ch == 'aeiou':,Replace the condition with: if 'aeiou' in ch:,None of the above,Demonstrates KC-04 mastery,Missing KC-04 — always false,Missing KC-04 — wrong direction,Missing KC-04 — incorrect semantics,
,,KC-05,Counter accumulation pattern,"Initialize a counter to 0 before the loop, increment it on each match, return the final value after the loop completes","(a) Initialize inside loop → resets each iteration, returns 0 or 1
(b) Initialize before loop, increment correctly, return 
(c) Forget to initialize → NameError on first increment
(d) Initialize to 1 → always off by one","Student initializes count = 0 inside the for loop — counter resets every char
Student writes count += ch instead of count += 1 — type error
Student uses count = count + i using wrong variable",Fixing bug,"For input ""aeiou"" this code returns 1 instead of 5. Select the minimal fix.

def countVowels(s):
    for ch in s:
        count = 0
        if ch in ""aeiou"":
            count += 1
    return count",Move count = 0 above the for loop,Change count += 1 to count += ch,Add return count inside the if block,None of the above,Demonstrates KC-05 mastery,Missing KC-05 — TypeError,Missing KC-05 — returns after first match,No understanding,KC-05_Debugging the question
,,,,,,,Fill in the blanks,"Complete the code so count accumulates across the entire string.

def countVowels(s):
    ____
    for ch in s:
        if ch in ""aeiou"":
            count += 1
    return count",count = 0,count = len(s),"count = """"",None of the above,Demonstrates KC-05 mastery,Missing KC-05 — wrong initial value,Missing KC-05 — wrong type,Missing KC-05 — NameError in Python,
,,,,,,,Reading question,"What does this function return for input ""aeiou""?

def countVowels(s):
    for ch in s:
        count = 0
        if ch in ""aeiou"":
            count += 1
    return count",0,1,5,None of the above,Missing KC-05 — doesn't trace reset behavior,Demonstrates KC-05 mastery — traces the reset,Missing KC-05 — doesn't see count resets,Missing KC-05 — wrong failure mode,
,,,,,,,Debugging the question,"For input ""aeiou"" this code returns 1 instead of 5. Identify the root cause.

def countVowels(s):
    for ch in s:
        count = 0
        if ch in ""aeiou"":
            count += 1
    return count",Vowel set is wrong,count = 0 is inside the loop — resets every iteration,Return statement misplaced,None of the above,Missing KC-05,Demonstrates KC-05 mastery,Missing KC-05 — partial,Missing KC-05 — wrong direction,
,,,,,,,Tweaking the code,"The below code has count = 0 in the wrong place. Move it to accumulate correctly across all characters.

def countVowels(s):
    for ch in s:
        count = 0
        if ch in ""aeiou"":
            count += 1
    return count",Move count = 0 to above the for loop,Move count = 0 after the return,Move count = 0 inside the if block,None of the above,Demonstrates KC-05 mastery,No understanding — unreachable,Missing KC-05 — still resets per match,Missing KC-05 — NameError,
,,KC-06,Lookup data structure choice,"For hot-path membership testing on large inputs, choose O(1) lookup structures (set, or string for small sets). Avoid lists for large-input membership checks","(a) vowels = ['a','e','i','o','u','A','E','I','O','U'] — list, O(n) lookup
(b) vowels = set(""aeiouAEIOU"")  — O(1) lookup
(c) vowels = ""aeiouAEIOU""  — O(n) but tiny n, acceptable
(d) vowels = {'a':1,'e':1,...} — dict, works but overkill","Student uses list of 10 vowels — TLE on 10⁶ input
Student builds a dict mapping vowel → True and checks .get() — works but unnecessary complexity
Student recreates the set inside the loop every iteration",Fixing bug,"This solution passes small tests but times out on 10⁶-character inputs. Select the minimal fix.

def countVowels(s):
    vowels = ['a', 'e', 'i', 'o', 'u', 'A', 'E', 'I', 'O', 'U']
    count = 0
    for ch in s:
        if ch in vowels:
            count += 1
    return count",Change for ch in s to for i in range(len(s)),Change vowels = [...] to vowels = set('aeiouAEIOU'),Add s = s.lower() before the loop,None of the above,Missing KC-06 — unrelated,Demonstrates KC-06 mastery,Missing KC-06 — not the bottleneck,No understanding,KC-06_Debugging the question
,,,,,,,Fill in the blanks,"Complete the code so vowel lookup is O(1) on average.

vowels = ____(""aeiouAEIOU"")
count = 0
for ch in s:
    if ch in vowels:
        count += 1",list,set,tuple,None of the above,Missing KC-06 — still O(n),Demonstrates KC-06 mastery,Missing KC-06 — still O(n),Missing KC-06 — sorted list still O(n) for in,
,,,,,,,Reading question,"Of the four options below, which has the fastest membership check for a 10⁶-character input?","ch in ['a','e','i','o','u','A','E','I','O','U']","ch in {'a','e','i','o','u','A','E','I','O','U'} ","ch in ('a','e','i','o','u','A','E','I','O','U')",None of the above,Missing KC-06 — list O(n),Demonstrates KC-06 mastery,Missing KC-06 — tuple O(n),"Missing KC-06 — verbose, same as list",
,,,,,,,Debugging the question,"This correct solution times out on 10⁶-char inputs. Identify the root cause of the slowdown.

def countVowels(s):
    vowels = ['a', 'e', 'i', 'o', 'u', 'A', 'E', 'I', 'O', 'U']
    count = 0
    for ch in s:
        if ch in vowels:
            count += 1
    return count",The for loop is slow,List membership (in vowels) is O(n) per check; multiplied by 10⁶ chars it exceeds time limit,Counter increment is slow,None of the above,Missing KC-06 — irrelevant,Demonstrates KC-06 mastery,Missing KC-06 — wrong diagnosis,No understanding,
,,,,,,,Tweaking the code,"Modify the below code so vowel lookup becomes O(1) on average.

vowels = ['a', 'e', 'i', 'o', 'u']","vowels = set(['a', 'e', 'i', 'o', 'u']) ","vowels = tuple(['a', 'e', 'i', 'o', 'u'])","vowels = sorted(['a', 'e', 'i', 'o', 'u'])",None of the above,Demonstrates KC-06 mastery,Missing KC-06 — still O(n),Missing KC-06 — sorted list still O(n) for in,"Missing KC-06 — same list, also wrong result",
,,KC-07,Robustness to non-alphabet input,"Digits, spaces, punctuation, and symbols are naturally non-vowels; the membership test handles them correctly without special-casing","(a) Add if ch.isalpha() before vowel check — unnecessary but correct
(b) Direct membership test handles everything 
(c) Add if ch not in ""0123456789"" — incomplete filtering
(d) Try-except block for ""invalid chars"" — doesn't apply here","Student filters digits explicitly with isdigit(), then symbols, creates 5 nested conditions
Student crashes thinking non-alphabets will raise errors in the in check
Student treats whitespace as a special case needing .strip()",Fixing bug,"This code crashes on input ""hello123!"" because a student added unnecessary filtering. Select the minimal fix.

def countVowels(s):
    count = 0
    for ch in s:
        if int(ch) >= 0:
            if ch.lower() in ""aeiou"":
                count += 1
    return count",Remove the int(ch) >= 0 check entirely,Change int(ch) to float(ch),Wrap int(ch) in try/except,None of the above,Demonstrates KC-07 mastery — non-alphabets handled naturally,Missing KC-07 — still crashes on letters,Missing KC-07 — band-aid; unnecessary guard,No understanding,KC-07_Debugging the question
,,,,,,,Fill in the blanks,"Complete the code to count vowels, correctly handling digits, spaces, and symbols without special-casing.

def countVowels(s):
    count = 0
    for ch in s:
        if ____:
            count += 1
    return count","ch.isalpha() and ch.lower() in ""aeiou""","ch.lower() in ""aeiou"" ","ch not in ""0123456789"" and ch.lower() in ""aeiou""",None of the above,Missing KC-07 — unnecessary isalpha guard,Demonstrates KC-07 mastery,Missing KC-07 — over-engineered,Missing KC-07 — counts digits,
,,,,,,,Reading question,"For input s = ""hello123 world!"", what should countVowels(s) return?",3,0,ValueError,None of the above,"Demonstrates KC-07 mastery — e, o, o",Missing KC-07 — thinks non-alphabets break logic,Missing KC-07 — thinks in fails on mixed input,Missing KC-07 — counts digits/symbols as vowels,
,,,,,,,Debugging the question,"A student over-engineers with nested guards. What's wrong with their approach?

def countVowels(s):
    count = 0
    for ch in s:
        if ch.isalpha():
            if not ch.isdigit():
                if ch not in "" !@#$%"":
                    if ch.lower() in ""aeiou"":
                        count += 1
    return count",All guards are necessary to prevent crashes,"The guards are unnecessary — ch.lower() in ""aeiou"" handles non-vowels naturally ",isalpha() is needed to avoid errors,None of the above,Missing KC-07,Demonstrates KC-07 mastery,Missing KC-07 — incorrect belief,Missing KC-07 — partial,
,,,,,,,Tweaking the code,"Simplify this over-engineered code — all the unnecessary guards should be removed.

def countVowels(s):
    count = 0
    for ch in s:
        if ch.isalpha():
            if not ch.isdigit():
                if ch not in "" !@#$%"":
                    if ch.lower() in ""aeiou"":
                        count += 1
    return count","Keep only: if ch.lower() in ""aeiou"": count += 1 ",Remove isalpha() but keep the others,Remove isdigit() but keep the others,None of the above,Demonstrates KC-07 mastery,Missing KC-07 — partial cleanup,Missing KC-07 — partial cleanup,Missing KC-07 — still over-engineered,
,,KC-08,Algorithmic efficiency awareness,Recognize that constraint length ≤ 10⁶ requires a single-pass O(n) solution. Nested loops or repeated scans will time out,"(a) Nested loop checking each char against each vowel — O(n×5)
(b) Single pass with O(1) membership test — O(n) 
(c) str.count('a') + str.count('e') + ... — multiple O(n) passes, acceptable
(d) Sort the string first, then count — O(n log n), overkill","Student nests two loops — TLE on 10⁶ input
Student calls .count() 10 times (once per vowel, both cases) — passes but slower than needed
Student converts string to list, sorts it, then counts — unnecessary work",Fixing bug,"This code times out on 10⁶-char inputs. Select the minimal fix.

def countVowels(s):
    vowels = ""aeiouAEIOU""
    count = 0
    for ch in s:
        for v in vowels:
            if ch == v:
                count += 1
    return count",Replace the inner for loop with: if ch in vowels: count += 1,Change for ch in s to while loop,Add break after count += 1 inside inner loop,None of the above,Demonstrates KC-08 mastery,Missing KC-08 — still nested O(n×10),Missing KC-08 — partial improvement only,No understanding — TypeError,KC-08_Debugging the question
,,,,,,,Fill in the blanks,"Complete the code with the most efficient approach for 10⁶-char input.

def countVowels(s):
    vowels = set(""aeiouAEIOU"")
    count = 0
    ____
        if ch in vowels:
            count += 1
    return count",for ch in s:,for i in range(len(s)): ch = s[i],for ch in s: for _ in range(10):,None of the above,Demonstrates KC-08 mastery — single pass O(n),Missing KC-08 — works but unnecessarily verbose,Missing KC-08 — adds pointless inner loop,No understanding — infinite loop,
,,,,,,,Reading question,"For length ≤ 10⁶, what is the expected time complexity of the intended solution?",O(1),O(log n),O(n),None of the above,No understanding,Missing KC-08 — wrong class,Demonstrates KC-08 mastery,Missing KC-08 — too slow,
,,,,,,,Debugging the question,"This code is correct but times out on 10⁶-char inputs. Identify the root cause.

def countVowels(s):
    vowels = ""aeiouAEIOU""
    count = 0
    for ch in s:
        for v in vowels:
            if ch == v:
                count += 1
    return count",The vowel set is wrong,Nested loop runs 10 × 10⁶ times — use membership test (in) instead,Should use recursion,None of the above,Missing KC-08,Demonstrates KC-08 mastery,No understanding,Missing KC-08 — partial improvement only,
,,,,,,,Tweaking the code,"The below solution works correctly but performs 10 separate scans of the input. Rewrite it to scan the string only once.

def countVowels(s):
    return (s.count('a') + s.count('e') + s.count('i') + s.count('o') + s.count('u') +
            s.count('A') + s.count('E') + s.count('I') + s.count('O') + s.count('U'))","Loop through s once, checking ch.lower() in ""aeiou"" ",Replace with s.count('aeiouAEIOU'),"Use sum(s.count(v) for v in ""aeiouAEIOU"")",None of the above,Demonstrates KC-08 mastery,Missing KC-08 — .count doesn't take a set of chars,"Missing KC-08 — still 10 passes, just shorter",Missing KC-08 — adds O(n log n),
,,KC-09,Return vs print semantics,"A function must return its result to the caller. print displays but does not return, and the grader reads the return value","(a) return count 
(b) print(count) — prints but returns None, test fails
(c) return print(count) — returns None
(d) No return statement — returns None implicitly","Student uses print(count) — function returns None, all test cases fail
Student returns before the loop completes (returns at first vowel found → returns 1 always)
Student returns str instead of count — wrong variable",Fixing bug,"This function fails all grader tests. Select the minimal fix.

def countVowels(s):
    count = 0
    for ch in s:
        if ch.lower() in ""aeiou"":
            count += 1
    print(count)",Change print(count) to return count,Change print(count) to return print(count),Add return None at the end,None of the above,Demonstrates KC-09 mastery,Missing KC-09 — still returns None,Missing KC-09 — still returns None,Missing KC-09 — no output at all,KC-09_Debugging the question
,,,,,,,Fill in the blanks,"Complete the code so the grader receives the correct value.

def countVowels(s):
    count = 0
    for ch in s:
        if ch.lower() in ""aeiou"":
            count += 1
    ____ count",print,return,yield,None of the above,Missing KC-09 — returns None to grader,Demonstrates KC-09 mastery,"Missing KC-09 — returns a generator, not int",No understanding — not a Python keyword,
,,,,,,,Reading question,What does a Python function return if it has no explicit return statement?,0,""""" (empty string)",None,None of the above,Missing KC-09,Missing KC-09,Demonstrates KC-09 mastery,Missing KC-09 — thinks Python is like Ruby,
,,,,,,,Debugging the question,"This solution prints the correct number on screen but fails all grader tests. Why?

def countVowels(s):
    count = 0
    for ch in s:
        if ch.lower() in ""aeiou"":
            count += 1
    print(count)",Counter logic is wrong,Function prints but doesn't return — grader reads return value (None),Should use sys.stdout.write,None of the above,Missing KC-09,Demonstrates KC-09 mastery,No understanding,No understanding,
,,,,,,,Tweaking the code,"The below function uses print instead of return. Modify it to work with a grader that reads the return value.

def countVowels(s):
    count = 0
    for ch in s:
        if ch.lower() in ""aeiou"":
            count += 1
    print(count)",Replace print(count) with return count,Add return count after print(count),Change print(count) to return print(count),None of the above,Demonstrates KC-09 mastery,Missing KC-09 — works but adds unnecessary print,Missing KC-09 — still returns None,No understanding,
,,KC-10,Edge case — single-character string,"Correctly handle length-1 inputs: ""a"" should return 1, ""b"" should return 0, ""A"" should return 1","(a) Code that works on length-1 strings 
(b) Code that assumes length ≥ 2 and skips first char
(c) Code that returns 0 for any single char
(d) Code that crashes with IndexError on single char","Student writes for i in range(1, len(s)) — skips index 0, returns 0 for ""a""
Student adds if len(s) < 2: return 0 as an ""edge case guard"" — wrong
Student uses s[0] and s[-1] logic that collapses on length-1 strings",Fixing bug,"This code returns 0 for any single-character input. Select the minimal fix.

def countVowels(s):
    count = 0
    for i in range(1, len(s)):
        if s[i].lower() in ""aeiou"":
            count += 1
    return count","Change range(1, len(s)) to range(len(s)) ",Change to range(len(s) + 1),Add a guard if len(s) < 2: return 0,None of the above,Demonstrates KC-10 mastery,Missing KC-10 — causes IndexError,"Missing KC-10 — wrong for ""a""",Missing KC-10 — different off-by-one,KC-10_Reading question
,,,,,,,Fill in the blanks,"Complete the range so the loop correctly handles strings of length 1 and above.

def countVowels(s):
    count = 0
    for i in range(____):
        if s[i].lower() in ""aeiou"":
            count += 1
    return count","1, len(s)",len(s),len(s) - 1,None of the above,"Missing KC-10 — skips index 0, breaks on ""a""",Demonstrates KC-10 mastery,Missing KC-10 — skips last character,Missing KC-10 — IndexError,
,,,,,,,Reading question,"For input s = ""a"", what should countVowels(s) return?",0,1,IndexError,None of the above,Missing KC-10,Demonstrates KC-10 mastery,Missing KC-10 — thinks single char crashes,No understanding,
,,,,,,,Debugging the question,"A student adds a ""safety check"" at the top. For input ""a"", the code returns 0 instead of 1. Why is the guard wrong?

def countVowels(s):
    if len(s) < 2:
        return 0
    count = 0
    for ch in s:
        if ch.lower() in ""aeiou"":
            count += 1
    return count",The guard is needed but the threshold is wrong,The guard is unnecessary; single-char inputs work fine without it,The guard should use > 1 instead,None of the above,Missing KC-10 — partial,Demonstrates KC-10 mastery,No understanding,"Missing KC-10 — irrelevant, constraint says length ≥ 1",
,,,,,,,Tweaking the code,"Remove the unnecessary edge-case guard so the function correctly handles single-character inputs.

def countVowels(s):
    if len(s) < 2:
        return 0
    count = 0
    for ch in s:
        if ch.lower() in ""aeiou"":
            count += 1
    return count",Delete the if len(s) < 2: return 0 block,Change the threshold to < 1,Change the threshold to > 1,None of the above,Demonstrates KC-10 mastery,Missing KC-10 — partial; still wrong for len 0 but correct for len 1,Missing KC-10 — inverted logic,No understanding,
rainfall_level_comparison_001,"### Rainfall Level Comparison Using Loops and Conditionals
Complete the function `compareRainfallLevels(n, levels, average)`, which compares daily rainfall levels against an average value and returns the comparison result.
Each rainfall level is compared with the average:
- count levels greater than the average
- count levels less than the average
- levels equal to the average are not counted
Based on the comparison:
- return `""above""` if levels greater than the average are more
- return `""below""` if levels less than the average are more
- return `""equal""` if both counts are the same

#### Input Format
- `n` an integer representing the number of rainfall records
- `levels` an array of `n` comma-separated integers representing rainfall levels
- `average` an integer representing the average rainfall value

#### Output Format
- Return one of the following strings:
  - `""above""`
  - `""below""`
  - `""equal""`

#### Constraints
- 1 <= `n` <= 10^5
- -10^9 <= `levels[i]` <= 10^9
- -10^9 <= `average` <= 10^9

#### Example
###### Sample Input
6
[1, 3, 0, -1, 4, 3]
2

###### Sample Output
equal

###### Explanation
The rainfall levels are compared with the average value `2`.
- Levels greater than the average `3, 4, 3` count = `3`
- Levels less than the average `1, 0, -1` count = `3`
Since both counts are the same, the function returns:
`equal`",KC-01,Array traversal with loop,"Iterate through all n elements of the levels array using a loop, visiting each element exactly once.","(a) for i in range(n-1) — skips last element
(b) for i in range(1, n) — skips first element
(c) for level in levels [correct]
(d) for level in levels[1:] — skips first element","Student uses range(n-1) missing the last rainfall level
Student starts range at 1 skipping the first element
Student uses hardcoded count instead of n",Fixing bug,"For levels=[1,3,0,-1,4,3], n=6, average=2, this code returns ""above"" instead of ""equal"". Select the fix.

def compareRainfallLevels(n, levels, average):
    above = 0
    below = 0
    for i in range(n - 1):
        if levels[i] > average:
            above += 1
        elif levels[i] < average:
            below += 1
    if above > below:
        return ""above""
    elif below > above:
        return ""below""
    else:
        return ""equal""",Change range(n-1) to range(n) [correct],Change range(n-1) to range(n+1),"Change range(n-1) to range(1, n)",None of the above,Demonstrates KC-01 mastery,Missing KC-01 — causes IndexError on last access,Missing KC-01 — skips first element,Missing KC-01 — skips alternate elements,KC-01 – Fixing Bug
,,,,,,,Fill in the blanks,"Complete the loop so it visits every element of levels exactly once.

above = 0
below = 0
for level in ____:
    if level > average:
        above += 1
    elif level < average:
        below += 1",levels[1:],levels[:-1],levels [correct],None of the above,Missing KC-01 — skips first element,Missing KC-01 — skips last element,Demonstrates KC-01 mastery,Missing KC-01 — iterates over integers; would need levels[i] not level,
,,,,,,,Reading question,"For levels=[1, 3, 0, -1, 4, 3] and n=6, how many iterations does `for i in range(n)` execute?",5,6 [correct],7,None of the above,Missing KC-01 — off-by-one error,Demonstrates KC-01 mastery,Missing KC-01 — thinks range is inclusive,"No understanding — loop count depends on n, not values",
,,,,,,,Debugging the question,"For levels=[1,3,0,-1,4,3], n=6, average=2, code returns ""above"" (above=3, below=2) instead of ""equal"" (above=3, below=3). What is the root cause?

for i in range(n - 1):
    if levels[i] > average:
        above += 1
    elif levels[i] < average:
        below += 1",The comparison operators are wrong,"range(n-1) stops at index 4, skipping levels[5]=3 which is below average, so below_count is undercounted [correct]",The counters are initialized incorrectly,None of the above,Missing KC-01 — misidentifies the issue,Demonstrates KC-01 mastery,Guessing,Missing KC-01 — irrelevant fix,
